pot.label,census,calendar.date,rep,within.rep,density,treatment,species,researcher.inititals,number.of.plants,height.cm,number.of.leaves,final.mass.above,final.mass.below
41,1,,5,1,10,noshade,Salvia colombriae,,3,27,4,,
41,1,,5,2,10,noshade,Salvia colombriae,,3,21,4,,
41,1,,5,3,10,noshade,Salvia colombriae,,3,14,4,,
42,1,,6,1,10,noshade,Salvia colombriae,,4,25,4,,
42,1,,6,2,10,noshade,Salvia colombriae,,4,25,4,,
42,1,,6,3,10,noshade,Salvia colombriae,,4,19,4,,
43,1,,7,1,10,noshade,Salvia colombriae,,1,15,4,,
43,1,,7,2,10,noshade,Salvia colombriae,,,,,,
43,1,,7,3,10,noshade,Salvia colombriae,,,,,,
44,1,,8,1,10,noshade,Salvia colombriae,,0,,,,
44,1,,8,2,10,noshade,Salvia colombriae,,,,,,
44,1,,8,3,10,noshade,Salvia colombriae,,,,,,
45,1,,9,1,10,noshade,Salvia colombriae,,0,,,,
45,1,,9,2,10,noshade,Salvia colombriae,,,,,,
45,1,,9,3,10,noshade,Salvia colombriae,,,,,,
46,1,,10,1,10,noshade,Salvia colombriae,,2,15,4,,
46,1,,10,2,10,noshade,Salvia colombriae,,2,16,2,,
46,1,,10,3,10,noshade,Salvia colombriae,,,,,,
47,1,,11,1,10,noshade,Salvia colombriae,,2,28,4,,
47,1,,11,2,10,noshade,Salvia colombriae,,2,21,4,,
47,1,,11,3,10,noshade,Salvia colombriae,,,,,,
48,1,,12,1,10,noshade,Salvia colombriae,,4,26,4,,
48,1,,12,2,10,noshade,Salvia colombriae,,4,28,4,,
48,1,,12,3,10,noshade,Salvia colombriae,,4,26,4,,
49,1,,1,1,20,noshade,Salvia colombriae,,7,17,4,,
49,1,,1,2,20,noshade,Salvia colombriae,,7,16,4,,
49,1,,1,3,20,noshade,Salvia colombriae,,7,19,4,,
50,1,,2,1,20,noshade,Salvia colombriae,,7,30,4,,
50,1,,2,2,20,noshade,Salvia colombriae,,7,24,4,,
50,1,,2,3,20,noshade,Salvia colombriae,,7,21,4,,
51,1,,3,1,20,noshade,Salvia colombriae,,5,16,4,,
51,1,,3,2,20,noshade,Salvia colombriae,,5,18,4,,
51,1,,3,3,20,noshade,Salvia colombriae,,5,24,4,,
52,1,,4,1,20,noshade,Salvia colombriae,,0,,,,
52,1,,4,2,20,noshade,Salvia colombriae,,,,,,
52,1,,4,3,20,noshade,Salvia colombriae,,,,,,
53,1,,5,1,20,noshade,Salvia colombriae,,9,16,4,,
53,1,,5,2,20,noshade,Salvia colombriae,,9,29,3,,
53,1,,5,3,20,noshade,Salvia colombriae,,9,15,5,,
54,1,,6,1,20,noshade,Salvia colombriae,,4,22,4,,
54,1,,6,2,20,noshade,Salvia colombriae,,4,15,4,,
54,1,,6,3,20,noshade,Salvia colombriae,,4,16,4,,
55,1,,7,1,20,noshade,Salvia colombriae,,1,24,4,,
