rep,dt,n,cor,sub_n
85,2018-10-24T11:11:01Z,40,0.587022469,50
86,2018-10-24T11:11:01Z,40,0.584233313,50
87,2018-10-24T11:11:01Z,40,0.45795287,50
88,2018-10-24T11:11:01Z,40,0.284035237,50
89,2018-10-24T11:11:01Z,40,0.740193131,50
90,2018-10-24T11:11:01Z,40,0.387088968,50
91,2018-10-24T11:11:01Z,40,0.487713097,50
92,2018-10-24T11:11:01Z,40,0.419614086,50
93,2018-10-24T11:11:01Z,40,0.414928817,50
94,2018-10-24T11:11:01Z,40,0.25441328,50
95,2018-10-24T11:11:01Z,40,0.541578959,50
96,2018-10-24T11:11:01Z,40,0.30149739,50
97,2018-10-24T11:11:01Z,40,0.66424663,50
98,2018-10-24T11:11:01Z,40,0.292958885,50
99,2018-10-24T11:11:01Z,40,0.633268828,50
100,2018-10-24T11:11:01Z,40,0.468812211,50
1,2018-10-24T11:11:01Z,35,0.446934531,50
2,2018-10-24T11:11:01Z,35,0.628131341,50
3,2018-10-24T11:11:01Z,35,0.276772446,50
4,2018-10-24T11:11:01Z,35,0.52606877,50
5,2018-10-24T11:11:01Z,35,0.430115838,50
6,2018-10-24T11:11:01Z,35,0.63006142,50
7,2018-10-24T11:11:01Z,35,0.26070665,50
8,2018-10-24T11:11:01Z,35,0.578528226,50
9,2018-10-24T11:11:01Z,35,0.458923308,50
10,2018-10-24T11:11:01Z,35,0.551989549,50
11,2018-10-24T11:11:01Z,35,0.371560891,50
12,2018-10-24T11:11:01Z,35,0.37794415,50
13,2018-10-24T11:11:01Z,35,0.353154301,50
14,2018-10-24T11:11:01Z,35,0.306980498,50
15,2018-10-24T11:11:01Z,35,0.619021509,50
16,2018-10-24T11:11:01Z,35,0.527189336,50
17,2018-10-24T11:11:01Z,35,0.537439761,50
18,2018-10-24T11:11:01Z,35,0.418529073,50
19,2018-10-24T11:11:01Z,35,0.714604083,50
20,2018-10-24T11:11:01Z,35,0.540943399,50
21,2018-10-24T11:11:01Z,35,0.407259366,50
22,2018-10-24T11:11:01Z,35,0.471212678,50
23,2018-10-24T11:11:01Z,35,0.331772209,50
24,2018-10-24T11:11:01Z,35,0.569432035,50
25,2018-10-24T11:11:01Z,35,0.425006881,50
26,2018-10-24T11:11:01Z,35,0.476556859,50
27,2018-10-24T11:11:01Z,35,0.369634129,50
28,2018-10-24T11:11:01Z,35,0.513867129,50
29,2018-10-24T11:11:01Z,35,0.438003207,50
30,2018-10-24T11:11:01Z,35,0.610783654,50
31,2018-10-24T11:11:01Z,35,0.340590016,50
32,2018-10-24T11:11:01Z,35,0.451972297,50
33,2018-10-24T11:11:01Z,35,0.013745799,50
34,2018-10-24T11:11:01Z,35,0.279138022,50
35,2018-10-24T11:11:01Z,35,0.549377631,50
36,2018-10-24T11:11:01Z,35,0.331664244,50
37,2018-10-24T11:11:01Z,35,0.455866772,50
38,2018-10-24T11:11:01Z,35,0.629186351,50
39,2018-10-24T11:11:01Z,35,0.359798669,50
40,2018-10-24T11:11:01Z,35,0.465455739,50
41,2018-10-24T11:11:01Z,35,0.406326733,50
42,2018-10-24T11:11:01Z,35,0.634006332,50
43,2018-10-24T11:11:01Z,35,0.511295046,50
44,2018-10-24T11:11:01Z,35,0.27010482,50
45,2018-10-24T11:11:01Z,35,0.458017193,50
46,2018-10-24T11:11:01Z,35,0.467797499,50
47,2018-10-24T11:11:01Z,35,0.542693774,50
48,2018-10-24T11:11:01Z,35,0.469795468,50
49,2018-10-24T11:11:01Z,35,0.645453986,50
50,2018-10-24T11:11:01Z,35,0.280109928,50
51,2018-10-24T11:11:01Z,35,0.418451431,50
52,2018-10-24T11:11:01Z,35,0.498857861,50
53,2018-10-24T11:11:01Z,35,0.419429641,50
54,2018-10-24T11:11:01Z,35,0.404161655,50
55,2018-10-24T11:11:01Z,35,0.712657499,50
56,2018-10-24T11:11:01Z,35,-0.041757329,50
57,2018-10-24T11:11:01Z,35,0.505899624,50
58,2018-10-24T11:11:01Z,35,0.620226106,50
59,2018-10-24T11:11:01Z,35,0.461248533,50
60,2018-10-24T11:11:01Z,35,0.496244777,50
61,2018-10-24T11:11:01Z,35,0.419278828,50
62,2018-10-24T11:11:01Z,35,0.09707416,50
63,2018-10-24T11:11:01Z,35,0.197372927,50
64,2018-10-24T11:11:01Z,35,0.367555689,50
65,2018-10-24T11:11:01Z,35,0.566664458,50
66,2018-10-24T11:11:01Z,35,0.254720441,50
67,2018-10-24T11:11:01Z,35,0.637445012,50
68,2018-10-24T11:11:01Z,35,0.229468801,50
69,2018-10-24T11:11:01Z,35,0.510207052,50
70,2018-10-24T11:11:01Z,35,0.446092142,50
71,2018-10-24T11:11:01Z,35,0.49859968,50
72,2018-10-24T11:11:01Z,35,0.533254726,50
73,2018-10-24T11:11:01Z,35,0.109724568,50
74,2018-10-24T11:11:01Z,35,0.440841002,50
75,2018-10-24T11:11:01Z,35,0.469573802,50
76,2018-10-24T11:11:01Z,35,0.560073319,50
77,2018-10-24T11:11:01Z,35,0.613999098,50
78,2018-10-24T11:11:01Z,35,0.605980991,50
79,2018-10-24T11:11:01Z,35,0.576904013,50
80,2018-10-24T11:11:01Z,35,0.508356115,50
81,2018-10-24T11:11:01Z,35,0.44215358,50
82,2018-10-24T11:11:01Z,35,0.481191139,50
83,2018-10-24T11:11:01Z,35,0.647429737,50
84,2018-10-24T11:11:01Z,35,0.265871578,50
85,2018-10-24T11:11:01Z,35,0.38255432,50
86,2018-10-24T11:11:01Z,35,0.619604116,50
87,2018-10-24T11:11:01Z,35,0.522182066,50
88,2018-10-24T11:11:01Z,35,0.444824996,50
89,2018-10-24T11:11:01Z,35,0.51333949,50
90,2018-10-24T11:11:01Z,35,0.570177794,50
91,2018-10-24T11:11:01Z,35,0.621597956,50
92,2018-10-24T11:11:01Z,35,0.544180108,50
93,2018-10-24T11:11:01Z,35,-0.01596411,50
94,2018-10-24T11:11:01Z,35,0.50652188,50
95,2018-10-24T11:11:01Z,35,0.483397026,50
96,2018-10-24T11:11:01Z,35,0.401379355,50
97,2018-10-24T11:11:01Z,35,0.384741948,50
98,2018-10-24T11:11:01Z,35,0.367327637,50
99,2018-10-24T11:11:01Z,35,0.640708172,50
100,2018-10-24T11:11:01Z,35,0.615908465,50
1,2018-10-24T11:11:01Z,30,0.409865248,50
2,2018-10-24T11:11:01Z,30,0.396171125,50
3,2018-10-24T11:11:01Z,30,0.431425672,50
4,2018-10-24T11:11:01Z,30,0.251576879,50
5,2018-10-24T11:11:01Z,30,0.484847751,50
6,2018-10-24T11:11:01Z,30,0.233380908,50
7,2018-10-24T11:11:01Z,30,0.34170557,50
8,2018-10-24T11:11:01Z,30,0.591826738,50
9,2018-10-24T11:11:01Z,30,0.267198138,50
10,2018-10-24T11:11:01Z,30,0.516351606,50
11,2018-10-24T11:11:01Z,30,0.311202653,50
12,2018-10-24T11:11:01Z,30,0.299175499,50
13,2018-10-24T11:11:01Z,30,-0.176052629,50
14,2018-10-24T11:11:01Z,30,0.283845826,50
15,2018-10-24T11:11:01Z,30,0.304111381,50
16,2018-10-24T11:11:01Z,30,0.261840332,50
17,2018-10-24T11:11:01Z,30,0.387809833,50
18,2018-10-24T11:11:01Z,30,0.554586413,50
19,2018-10-24T11:11:01Z,30,0.415912632,50
20,2018-10-24T11:11:01Z,30,0.528824848,50
21,2018-10-24T11:11:01Z,30,0.440865984,50
22,2018-10-24T11:11:01Z,30,0.07489402,50
23,2018-10-24T11:11:01Z,30,0.551715729,50
24,2018-10-24T11:11:01Z,30,0.44935586,50
25,2018-10-24T11:11:01Z,30,-0.015593073,50
26,2018-10-24T11:11:01Z,30,0.134044439,50
27,2018-10-24T11:11:01Z,30,0.283977307,50
28,2018-10-24T11:11:01Z,30,0.57445794,50
29,2018-10-24T11:11:01Z,30,0.467706682,50
30,2018-10-24T11:11:01Z,30,0.440945796,50
31,2018-10-24T11:11:01Z,30,0.37109503,50
32,2018-10-24T11:11:01Z,30,0.34107317,50
33,2018-10-24T11:11:01Z,30,0.445669645,50
34,2018-10-24T11:11:01Z,30,-0.04807695,50
35,2018-10-24T11:11:01Z,30,0.338634184,50
36,2018-10-24T11:11:01Z,30,0.336751166,50
37,2018-10-24T11:11:01Z,30,0.40709616,50
38,2018-10-24T11:11:01Z,30,0.520212835,50
39,2018-10-24T11:11:01Z,30,0.043179501,50
40,2018-10-24T11:11:01Z,30,0.579644283,50
41,2018-10-24T11:11:01Z,30,0.304584996,50
42,2018-10-24T11:11:01Z,30,0.620225448,50
43,2018-10-24T11:11:01Z,30,0.551749236,50
44,2018-10-24T11:11:01Z,30,0.502575796,50
45,2018-10-24T11:11:01Z,30,0.465163211,50
46,2018-10-24T11:11:01Z,30,0.453909853,50
47,2018-10-24T11:11:01Z,30,0.438665303,50
48,2018-10-24T11:11:01Z,30,0.589404292,50
49,2018-10-24T11:11:01Z,30,0.505208154,50
50,2018-10-24T11:11:01Z,30,0.511528616,50
51,2018-10-24T11:11:01Z,30,0.578430617,50
52,2018-10-24T11:11:01Z,30,0.504031051,50
53,2018-10-24T11:11:01Z,30,0.189632038,50
54,2018-10-24T11:11:01Z,30,0.022391242,50
55,2018-10-24T11:11:01Z,30,0.67497022,50
56,2018-10-24T11:11:01Z,30,0.496589276,50
57,2018-10-24T11:11:01Z,30,0.309710121,50
58,2018-10-24T11:11:01Z,30,0.183923795,50
59,2018-10-24T11:11:01Z,30,0.343893899,50
60,2018-10-24T11:11:01Z,30,0.348637331,50
61,2018-10-24T11:11:01Z,30,0.141777635,50
62,2018-10-24T11:11:01Z,30,0.418293786,50
63,2018-10-24T11:11:01Z,30,0.543624919,50
64,2018-10-24T11:11:01Z,30,0.392363214,50
65,2018-10-24T11:11:01Z,30,0.465912799,50
66,2018-10-24T11:11:01Z,30,0.528042255,50
67,2018-10-24T11:11:01Z,30,0.318756573,50
68,2018-10-24T11:11:01Z,30,0.468275536,50
69,2018-10-24T11:11:01Z,30,0.513595705,50
70,2018-10-24T11:11:01Z,30,-0.158260113,50
71,2018-10-24T11:11:01Z,30,0.471071998,50
72,2018-10-24T11:11:01Z,30,0.089956661,50
73,2018-10-24T11:11:01Z,30,0.338783377,50
74,2018-10-24T11:11:01Z,30,0.032368741,50
75,2018-10-24T11:11:01Z,30,0.55585144,50
76,2018-10-24T11:11:01Z,30,0.575064581,50
77,2018-10-24T11:11:01Z,30,0.561017066,50
78,2018-10-24T11:11:01Z,30,0.543854975,50
79,2018-10-24T11:11:01Z,30,0.506874009,50
80,2018-10-24T11:11:01Z,30,0.31946555,50
81,2018-10-24T11:11:01Z,30,0.035907248,50
82,2018-10-24T11:11:01Z,30,0.629314644,50
83,2018-10-24T11:11:01Z,30,0.586246924,50
84,2018-10-24T11:11:01Z,30,0.15995553,50
85,2018-10-24T11:11:01Z,30,0.480192333,50
86,2018-10-24T11:11:01Z,30,0.553304814,50
87,2018-10-24T11:11:01Z,30,0.455071286,50
88,2018-10-24T11:11:01Z,30,0.302969608,50
89,2018-10-24T11:11:01Z,30,0.355424901,50
90,2018-10-24T11:11:01Z,30,0.312631865,50
91,2018-10-24T11:11:01Z,30,0.594022522,50
92,2018-10-24T11:11:01Z,30,0.483715018,50
93,2018-10-24T11:11:01Z,30,0.388575462,50
94,2018-10-24T11:11:01Z,30,0.237446591,50
95,2018-10-24T11:11:01Z,30,0.268750843,50
96,2018-10-24T11:11:01Z,30,0.417131965,50
97,2018-10-24T11:11:01Z,30,0.165564427,50
98,2018-10-24T11:11:01Z,30,0.500615951,50
99,2018-10-24T11:11:01Z,30,0.646095386,50
100,2018-10-24T11:11:01Z,30,0.626438583,50
1,2018-10-24T11:11:01Z,25,0.122209598,50
2,2018-10-24T11:11:01Z,25,0.403520026,50
3,2018-10-24T11:11:01Z,25,0.264887256,50
4,2018-10-24T11:11:01Z,25,0.452873151,50
5,2018-10-24T11:11:01Z,25,-0.086361474,50
6,2018-10-24T11:11:01Z,25,0.525448093,50
7,2018-10-24T11:11:01Z,25,0.090191819,50
8,2018-10-24T11:11:01Z,25,0.450457335,50
9,2018-10-24T11:11:01Z,25,0.267805946,50
10,2018-10-24T11:11:01Z,25,-0.061278126,50
11,2018-10-24T11:11:01Z,25,0.159350102,50
12,2018-10-24T11:11:01Z,25,-0.075767277,50
13,2018-10-24T11:11:01Z,25,0.386398193,50
14,2018-10-24T11:11:01Z,25,0.449002468,50
