FID,uniID,SumAllYr,Sum2018,Sum2017,Sum2016,x_utm,y_utm,x_wgs,y_wgs,Aspect,Slope,Elev,KDF,Shrub_Cov,NDVI,Solar
24,51696,0,0,0,0,261641.501500000013039,3889761.450300000142306,-119.615708999999995,35.122521999999996,288.4349976,6.7628598,761.000000000000000,0.0000000,0.0124348,0.2165330,378512.000000000000000
25,58611,0,0,0,0,260501.501500000013039,3890181.450300000142306,-119.628328999999994,35.126035000000002,210.9640045,6.2393899,728.000000000000000,0.0000000,0.0175839,0.2067030,382101.000000000000000
26,37693,0,0,0,0,260461.501500000013039,3888921.450300000142306,-119.628401999999994,35.114676000000003,180.0000000,1.4321001,699.000000000000000,0.0000000,0.0041639,0.2402000,380776.000000000000000
27,44719,0,0,0,0,261541.501500000013039,3889341.450300000142306,-119.616684000000006,35.118715000000002,315.0000000,4.0446901,735.000000000000000,0.0001721,0.0572176,0.2505220,378308.000000000000000
28,45633,0,0,0,0,259901.501500000013039,3889401.450300000142306,-119.634681000000000,35.118865999999997,135.0000000,0.5064150,692.000000000000000,0.0000267,0.0034160,0.2139510,379901.000000000000000
29,48650,1,1,0,0,260481.501500000013039,3889581.450300000142306,-119.628373999999994,35.120626000000001,258.6900024,1.8253300,711.000000000000000,0.0028287,0.1064370,0.2205780,380556.000000000000000
30,54292,0,0,0,0,260441.501500000013039,3889921.450300000142306,-119.628911000000002,35.123679000000003,225.0000000,2.0248699,715.000000000000000,0.0000000,0.0283703,0.2238460,381148.000000000000000
31,46005,0,0,0,0,260701.501500000013039,3889421.450300000142306,-119.625916000000004,35.119236999999998,278.1300049,2.5304899,714.000000000000000,0.0001688,0.0023336,0.2306700,380082.000000000000000
32,61302,0,0,0,0,261201.501500000013039,3890341.450300000142306,-119.620699999999999,35.127642000000002,216.8699951,10.6197004,758.000000000000000,0.0000000,0.0769244,0.2195720,381302.000000000000000
33,47000,0,0,0,0,260681.501500000013039,3889481.450300000142306,-119.626153000000002,35.119771999999998,300.9639893,2.0871301,712.000000000000000,0.0015741,0.0228969,0.2229210,379503.000000000000000
34,58644,0,0,0,0,261161.501500000013039,3890181.450300000142306,-119.621092000000004,35.126192000000003,321.3399963,4.5761399,744.000000000000000,0.0000000,0.0434973,0.2386430,377954.000000000000000
35,37676,0,0,0,0,260121.501500000013039,3888921.450300000142306,-119.632130000000004,35.114595000000001,120.9639969,2.0871301,690.000000000000000,0.0000049,0.0002377,0.2271750,379951.000000000000000
36,45648,1,1,0,0,260201.501500000013039,3889401.450300000142306,-119.631392000000005,35.118938000000000,315.0000000,2.0248699,696.000000000000000,0.0014175,0.0238719,0.2216680,378505.000000000000000
37,39381,0,0,0,0,261021.501500000013039,3889021.450300000142306,-119.622292000000002,35.115709000000003,246.8009949,2.7251401,713.000000000000000,0.0016928,0.0197598,0.2302810,380582.000000000000000
38,57964,0,0,0,0,260841.501500000013039,3890141.450300000142306,-119.624589000000000,35.125754999999998,186.3399963,3.2392700,735.000000000000000,0.0000000,0.0124024,0.2189410,382518.000000000000000
39,42648,2,2,0,0,259961.501500000013039,3889221.450300000142306,-119.633971000000003,35.117258999999997,186.3399963,3.2392700,690.000000000000000,0.0057564,0.0327845,0.2328170,380983.000000000000000
40,49282,0,0,0,0,259841.501500000013039,3889621.450300000142306,-119.635401999999999,35.120832999999998,270.0000000,1.4321001,696.000000000000000,0.0000508,0.0006191,0.2290100,379889.000000000000000
41,49328,2,2,0,0,260761.501500000013039,3889621.450300000142306,-119.625315999999998,35.121051999999999,257.4710083,6.5740099,721.000000000000000,0.0051076,0.0563353,0.2087880,379381.000000000000000
42,56621,0,0,0,0,260541.501500000013039,3890061.450300000142306,-119.627854999999997,35.124963999999999,243.4349976,3.1996000,723.000000000000000,0.0000000,0.0015259,0.2278230,381204.000000000000000
43,43642,0,0,0,0,259921.501500000013039,3889281.450300000142306,-119.634427000000002,35.117789999999999,263.6600037,3.2392700,688.000000000000000,0.0037114,0.0337871,0.1767740,379186.000000000000000
44,45963,0,0,0,0,259861.501500000013039,3889421.450300000142306,-119.635125000000002,35.119036999999999,180.0000000,0.7161600,693.000000000000000,0.0000814,0.0056707,0.2165770,380266.000000000000000
45,52273,0,0,0,0,259901.501500000013039,3889801.450300000142306,-119.634797000000006,35.122469000000002,341.5650024,1.1322600,696.000000000000000,0.0000000,0.0058786,0.2347530,379115.000000000000000
46,44326,0,0,0,0,260321.501500000013039,3889321.450300000142306,-119.630053000000004,35.118245000000002,240.9450073,3.6817801,698.000000000000000,0.0077220,0.0303470,0.2194510,380176.000000000000000
47,41061,0,0,0,0,261421.501500000013039,3889121.450300000142306,-119.617936000000000,35.116705000000003,291.0379944,4.9751902,731.000000000000000,0.0005420,0.0001946,0.2674070,378704.000000000000000
48,35052,0,0,0,0,260761.501500000013039,3888761.450300000142306,-119.625067000000001,35.113306000000001,225.0000000,2.0248699,707.000000000000000,0.0000626,0.0259541,0.2376400,380949.000000000000000
49,45970,0,0,0,0,260001.501500000013039,3889421.450300000142306,-119.633589999999998,35.119070000000001,225.0000000,0.5064150,692.000000000000000,0.0000889,0.0110735,0.2157690,379883.000000000000000
50,41317,1,1,0,0,259901.501500000013039,3889141.450300000142306,-119.634604999999993,35.116523999999998,225.0000000,3.0357201,686.000000000000000,0.0028232,0.0218392,0.2188240,380278.000000000000000
51,35442,0,0,0,0,261921.501500000013039,3888781.450300000142306,-119.612357000000003,35.113760999999997,180.0000000,0.7161600,736.000000000000000,0.0000890,0.0020772,0.2448110,381269.000000000000000
52,56323,0,0,0,0,261221.501500000013039,3890041.450300000142306,-119.620394000000005,35.124944999999997,180.0000000,7.1250200,750.000000000000000,0.0000000,0.0005931,0.1255560,383180.000000000000000
53,43387,0,0,0,0,261461.501500000013039,3889261.450300000142306,-119.617537999999996,35.117975999999999,300.9639893,4.1687398,733.000000000000000,0.0002698,0.0169919,0.2159560,378779.000000000000000
54,32756,0,0,0,0,261321.501500000013039,3888621.450300000142306,-119.618887999999998,35.112178000000000,243.4349976,4.7931800,719.000000000000000,0.0000511,0.0268907,0.2345040,380802.000000000000000
55,49622,0,0,0,0,260001.501500000013039,3889641.450300000142306,-119.633654000000007,35.121051999999999,206.5650024,1.6010500,699.000000000000000,0.0000000,0.0000183,0.2265510,380746.000000000000000
56,56274,0,0,0,0,260241.501500000013039,3890041.450300000142306,-119.631139000000005,35.124712000000002,261.0270081,6.8552599,708.000000000000000,0.0000000,0.0078978,0.2279810,378503.000000000000000
57,51598,0,0,0,0,259681.501500000013039,3889761.450300000142306,-119.637197000000000,35.122056000000001,153.4349976,1.6010500,689.000000000000000,0.0000000,0.0098710,0.2149080,380089.000000000000000
58,38434,0,0,0,0,262001.501500000013039,3888961.450300000142306,-119.611531999999997,35.115400999999999,213.6900024,2.5805399,748.000000000000000,0.0000000,0.0000000,0.2393030,382470.000000000000000
59,33713,0,0,0,0,260541.501500000013039,3888681.450300000142306,-119.627455999999995,35.112532999999999,215.5379944,3.0775199,698.000000000000000,0.0000000,0.0065165,0.2262280,380854.000000000000000
60,33717,0,0,0,0,260621.501500000013039,3888681.450300000142306,-119.626579000000007,35.112552000000001,270.0000000,2.8624101,699.000000000000000,0.0000000,0.0449671,0.2352460,379335.000000000000000
61,52631,0,0,0,0,260421.501500000013039,3889821.450300000142306,-119.629102000000003,35.122773000000002,278.1300049,2.5304899,711.000000000000000,0.0000027,0.0447376,0.2204180,379890.000000000000000
62,45974,0,0,0,0,260081.501500000013039,3889421.450300000142306,-119.632712999999995,35.119089000000002,185.1940002,3.9490600,693.000000000000000,0.0001062,0.0325348,0.2121060,381038.000000000000000
63,54591,0,0,0,0,259781.501500000013039,3889941.450300000142306,-119.636152999999993,35.123702000000002,191.3099976,1.8253300,697.000000000000000,0.0003846,0.0009740,0.2277060,380855.000000000000000
64,35083,0,0,0,0,261381.501500000013039,3888761.450300000142306,-119.618270999999993,35.113453000000000,206.5650024,3.1996000,727.000000000000000,0.0000013,0.0180200,0.2443220,382166.000000000000000
